day,Malaysia,Singapore,Indonesia,Brunei,Thailand,Philippines
163,8643,44310,59394,141,3179,38805
164,8648,44479,60695,141,3180,40336
165,8658,44664,62142,141,3185,41830
166,8663,44800,63749,141,3190,44254
167,8668,44983,64958,141,3195,46333
168,8674,45140,66226,141,3195,47873
169,8677,45298,68079,141,3197,50359
170,8683,45423,70736,141,3202,51754
171,8696,45614,72347,141,3202,52914
172,8704,45783,74018,141,3216,54222
173,8718,45961,75699,141,3217,56259
174,8725,46283,76981,141,3220,57006
175,8729,46630,78572,141,3227,57545
176,8734,46878,80094,141,3232,58850
177,8737,47126,81668,141,3236,61266
178,8755,47453,83130,141,3239,63001
179,8764,47655,84882,141,3246,65304
180,8779,47912,86521,141,3249,67456
181,8800,48035,88214,141,3250,68898
182,8815,48434,89869,141,3255,70764
183,8831,48744,91751,141,3253,72269
184,8840,49098,93657,141,3269,74390
185,8861,49375,95418,141,3279,76444
186,8884,49888,97286,141,3282,78412
187,8897,50369,98778,141,3291,80448
188,8904,50838,100303,141,3295,82040
189,8943,51197,102051,141,3297,83673
190,8956,51531,104432,141,3298,85486
191,8964,51809,106336,141,3304,89374
192,8976,52205,108376,141,3310,93354
193,8985,52512,109936,141,3312,98232
194,8999,52825,111455,141,3317,103185
195,9001,53051,113134,141,3320,106330
196,9002,53346,115056,141,3321,112593
197,9023,54254,116871,141,3328,115980
198,9038,54555,118753,141,3330,119460
199,9063,54797,121226,142,3345,122754
200,9070,54929,123503,142,3348,126885
201,9083,55104,125396,142,3351,129913
202,9094,55292,127083,142,3351,136638
203,9103,55353,128776,142,3351,139538
204,9114,55395,130718,142,3356,143749
205,9129,55497,132816,142,3359,147526
206,9149,55580,135123,142,3376,153660
207,9175,55661,137468,142,3376,157918
208,9200,55747,139549,142,3377,161253
209,9212,55838,141370,142,3378,164474
210,9219,55938,143043,142,3381,169213
211,9235,56031,144945,143,3382,173774
212,9240,56099,147211,143,3389,178022
213,9249,56216,149408,143,3390,182365
214,9257,56266,151498,143,3390,187249
215,9267,56353,153535,143,3395,189601
216,9274,56404,155412,143,3397,194252
217,9285,56435,157859,144,3402,197164
218,9291,56495,160165,144,3403,202361
219,9296,56572,162884,144,3404,205581
220,9306,56666,165887,144,3410,209544
221,9317,56717,169195,144,3411,213131
222,9334,56771,172053,144,3411,217396
223,9340,56812,174796,144,3412,220819
224,9354,56852,177571,144,3417,224264
225,9360,56860,180646,144,3425,226440
226,9374,56908,184268,145,3427,228403
227,9385,56948,187537,145,3431,232072
228,9391,56982,190665,145,3438,234570
229,9397,57022,194109,145,3444,237365
230,9459,57044,196989,145,3445,238727
231,9559,57091,200035,145,3446,241987
232,9583,57166,203342,145,3447,245143
233,9628,57229,207203,145,3454,248947
234,9810,57315,210940,145,3461,252964
235,9868,57357,214746,145,3466,257863
236,9915,57406,218382,145,3473,261216
237,9946,57454,221523,145,3475,265888
238,9969,57488,225030,145,3480,269407
239,10031,57514,228993,145,3490,272934
240,10052,57532,232628,145,3490,276289
241,10147,57543,236519,145,3497,279526
242,10167,57558,240687,145,3500,283460
243,10219,57576,244676,145,3506,286743
244,10276,57606,248852,145,3506,290190
245,10358,57627,252923,145,3511,291789
246,10505,57639,257388,145,3514,294591
247,10576,57654,262022,146,3516,296755
248,10687,57665,266845,146,3519,299361
249,10769,57685,271339,146,3522,301256
250,10919,57700,275213,146,3523,304226
251,11034,57715,278722,146,3545,307288
252,11135,57742,282724,146,3559,309303
253,11224,57765,287008,146,3564,311694
254,11484,57784,291182,146,3569,314079
255,11771,57794,295499,146,3575,316678
256,12088,57800,299506,146,3583,319330
